annotation_id,conversation_id,message_id,intent,service,extracted_fields,confidence
ann_00001,conv_0001,msg_00001,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Lexus RX""}",0.82
ann_00002,conv_0002,msg_00005,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Toyota Camry""}",0.87
ann_00003,conv_0003,msg_00010,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Volkswagen Tiguan""}",0.93
ann_00004,conv_0004,msg_00015,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Toyota Camry""}",0.87
ann_00005,conv_0005,msg_00021,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Toyota Camry""}",0.89
ann_00006,conv_0006,msg_00027,new_service_request,PPF elements,"{""service"":""PPF elements"",""car"":""Audi A6""}",0.84
ann_00007,conv_0007,msg_00033,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Kia K5""}",0.90
ann_00008,conv_0008,msg_00038,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Mercedes-Benz E-Class""}",0.86
ann_00009,conv_0009,msg_00044,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Volkswagen Tiguan""}",0.85
ann_00010,conv_0010,msg_00049,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Range Rover Sport""}",0.91
ann_00011,conv_0011,msg_00053,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Tesla Model 3""}",0.85
ann_00012,conv_0012,msg_00057,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Porsche Macan""}",0.91
ann_00013,conv_0013,msg_00062,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""BMW X5""}",0.95
ann_00014,conv_0014,msg_00068,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Range Rover Sport""}",0.87
ann_00015,conv_0015,msg_00074,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Mazda CX-5""}",0.90
ann_00016,conv_0016,msg_00080,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Lexus RX""}",0.82
ann_00017,conv_0017,msg_00085,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Porsche Macan""}",0.86
ann_00018,conv_0018,msg_00091,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Tesla Model 3""}",0.87
ann_00019,conv_0019,msg_00096,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Mercedes-Benz E-Class""}",0.87
ann_00020,conv_0020,msg_00101,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Geely Monjaro""}",0.85
ann_00021,conv_0021,msg_00106,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Mercedes-Benz E-Class""}",0.83
ann_00022,conv_0022,msg_00111,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Mercedes-Benz E-Class""}",0.84
ann_00023,conv_0023,msg_00117,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Kia K5""}",0.97
ann_00024,conv_0024,msg_00121,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Audi A6""}",0.84
ann_00025,conv_0025,msg_00125,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Lexus RX""}",0.92
ann_00026,conv_0026,msg_00129,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Toyota Camry""}",0.87
ann_00027,conv_0027,msg_00133,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Porsche Macan""}",0.93
ann_00028,conv_0028,msg_00138,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Lexus RX""}",0.89
ann_00029,conv_0029,msg_00143,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Kia K5""}",0.88
ann_00030,conv_0030,msg_00148,new_service_request,PPF elements,"{""service"":""PPF elements"",""car"":""Honda Accord 8""}",0.87
ann_00031,conv_0031,msg_00153,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Porsche Macan""}",0.85
ann_00032,conv_0032,msg_00159,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Volkswagen Tiguan""}",0.84
ann_00033,conv_0033,msg_00163,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Kia K5""}",0.90
ann_00034,conv_0034,msg_00168,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Skoda Octavia""}",0.87
ann_00035,conv_0035,msg_00174,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Mercedes-Benz E-Class""}",0.82
ann_00036,conv_0036,msg_00178,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Skoda Octavia""}",0.90
ann_00037,conv_0037,msg_00182,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Tesla Model 3""}",0.96
ann_00038,conv_0038,msg_00187,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Porsche Macan""}",0.88
ann_00039,conv_0039,msg_00193,new_service_request,PPF elements,"{""service"":""PPF elements"",""car"":""Lexus RX""}",0.83
ann_00040,conv_0040,msg_00197,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""BMW X5""}",0.95
ann_00041,conv_0041,msg_00202,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Range Rover Sport""}",0.93
ann_00042,conv_0042,msg_00207,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Audi A6""}",0.87
ann_00043,conv_0043,msg_00211,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Toyota Camry""}",0.94
ann_00044,conv_0044,msg_00215,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Kia K5""}",0.94
ann_00045,conv_0045,msg_00221,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Lexus RX""}",0.90
ann_00046,conv_0046,msg_00225,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Mercedes-Benz E-Class""}",0.94
ann_00047,conv_0047,msg_00229,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Toyota Camry""}",0.87
ann_00048,conv_0048,msg_00234,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Audi A6""}",0.91
ann_00049,conv_0049,msg_00239,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Range Rover Sport""}",0.93
ann_00050,conv_0050,msg_00245,new_service_request,PPF elements,"{""service"":""PPF elements"",""car"":""Volkswagen Tiguan""}",0.87
ann_00051,conv_0051,msg_00251,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Mazda CX-5""}",0.92
ann_00052,conv_0052,msg_00257,new_service_request,PPF elements,"{""service"":""PPF elements"",""car"":""Geely Monjaro""}",0.93
ann_00053,conv_0053,msg_00262,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Volkswagen Tiguan""}",0.84
ann_00054,conv_0054,msg_00268,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Lexus RX""}",0.95
ann_00055,conv_0055,msg_00272,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Porsche Macan""}",0.84
ann_00056,conv_0056,msg_00278,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Range Rover Sport""}",0.90
ann_00057,conv_0057,msg_00284,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Geely Monjaro""}",0.94
ann_00058,conv_0058,msg_00288,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Geely Monjaro""}",0.92
ann_00059,conv_0059,msg_00293,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Kia K5""}",0.86
ann_00060,conv_0060,msg_00297,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Hyundai Santa Fe""}",0.97
ann_00061,conv_0061,msg_00303,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""BMW X5""}",0.93
ann_00062,conv_0062,msg_00308,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Mazda CX-5""}",0.97
ann_00063,conv_0063,msg_00312,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Mercedes-Benz E-Class""}",0.86
ann_00064,conv_0064,msg_00316,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Honda Accord 8""}",0.88
ann_00065,conv_0065,msg_00321,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Toyota Camry""}",0.88
ann_00066,conv_0066,msg_00326,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Volkswagen Tiguan""}",0.90
ann_00067,conv_0067,msg_00330,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Mazda CX-5""}",0.82
ann_00068,conv_0068,msg_00336,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""BMW X5""}",0.93
ann_00069,conv_0069,msg_00341,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Lexus RX""}",0.91
ann_00070,conv_0070,msg_00345,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Mazda CX-5""}",0.96
